Date,Stock Index,Open Price,Close Price,Daily High,Daily Low,Trading Volume,GDP Growth (%),Inflation Rate (%),Unemployment Rate (%)
2000-01-01,Dow Jones,2128.75,2138.48,2143.7,2100.55,2670411,-0.37,6.06,6.1
2000-01-02,S&P 500,2046.82,2036.1799999999998,2082.83,2009.5299999999997,690220415,3.19,4.95,6.62
2000-01-03,Dow Jones,1987.92,1985.26,2022.28,1978.37,315284661,5.54,9.13,2.6
2000-01-04,Dow Jones,4625.02,4660.47,4665.26,4595.46,13098297,10.0,3.77,2.2
2000-01-05,S&P 500,1998.18,1982.18,2044.3100000000002,1966.44,385306746,1.53,2.2,8.2
2000-01-06,S&P 500,2087.8,2124.76,2153.1800000000003,2085.1800000000003,82664194,1.42,6.08,3.24
2000-01-07,Dow Jones,4037.59,3996.4,4055.78,3948.9700000000003,653722138,7.64,6.24,4.52
2000-01-08,NASDAQ,2798.96,2826.64,2864.47,2766.89,423890033,7.08,4.39,13.01
2000-01-09,Dow Jones,4106.84,4141.59,4154.46,4062.9900000000002,867172199,5.97,4.87,9.42
2000-01-10,Dow Jones,1261.46,1229.64,1296.14,1195.8400000000001,174582201,1.95,9.6,10.24
2000-01-11,Dow Jones,2950.28,2943.3100000000004,2952.27,2925.4600000000005,320527008,-0.14,7.33,4.44
2000-01-12,Dow Jones,1134.45,1101.0,1176.42,1075.37,715127821,4.13,1.11,12.77
2000-01-13,S&P 500,1250.61,1271.27,1293.68,1216.82,90792126,8.14,2.12,13.28
2000-01-14,Dow Jones,4625.75,4629.28,4661.11,4577.74,595281205,8.26,9.76,8.8
2000-01-15,NASDAQ,1556.98,1570.51,1581.57,1544.3,866560662,-3.37,7.26,13.86
2000-01-16,S&P 500,3129.68,3099.33,3163.5299999999997,3055.58,415077918,1.43,9.15,12.98
2000-01-17,NASDAQ,2644.38,2615.55,2682.9900000000002,2569.3500000000004,965696140,1.97,3.04,11.51
2000-01-18,NASDAQ,2389.37,2343.52,2413.0299999999997,2310.0,3991992,9.66,7.42,11.54
2000-01-19,NASDAQ,4599.33,4581.54,4630.22,4534.98,215525643,5.17,7.14,3.37
2000-01-20,NASDAQ,1087.29,1093.26,1116.08,1067.3999999999999,995760162,1.11,2.95,5.52
2000-01-21,S&P 500,3655.16,3690.95,3735.6499999999996,3607.5099999999998,992784081,-4.61,5.51,2.87
2000-01-22,S&P 500,4853.58,4870.2699999999995,4895.16,4818.44,349254868,3.48,6.27,2.11
2000-01-23,NASDAQ,3240.67,3234.21,3282.76,3232.11,781089324,-3.56,4.81,4.06
2000-01-24,NASDAQ,4747.29,4792.6,4832.67,4701.95,695658158,7.52,8.27,13.45
2000-01-25,S&P 500,1209.03,1230.95,1251.48,1184.81,19640512,6.29,8.33,5.12
2000-01-26,S&P 500,2675.17,2718.19,2729.69,2652.15,834168124,1.91,8.51,14.61
2000-01-27,S&P 500,2040.63,2043.39,2063.69,2012.3100000000002,97750245,1.44,8.03,9.76
2000-01-28,Dow Jones,3923.28,3899.17,3964.59,3891.7000000000003,374017896,8.46,4.88,5.08
2000-01-29,Dow Jones,4925.19,4880.469999999999,4936.57,4857.009999999999,67457001,-0.67,3.81,8.46
2000-01-30,Dow Jones,2026.12,2048.73,2074.95,1984.56,447750702,-1.26,8.31,4.85
2000-01-31,NASDAQ,3616.7,3578.83,3657.0,3578.06,897542344,9.09,4.9,14.79
2000-02-01,Dow Jones,1792.39,1772.67,1810.0600000000002,1759.02,317635926,7.14,2.46,13.01
2000-02-02,NASDAQ,3261.32,3264.57,3296.6800000000003,3261.2000000000003,835366797,7.31,5.07,2.34
2000-02-03,NASDAQ,2855.73,2862.17,2874.4500000000003,2834.94,328505418,-2.07,1.42,14.32
2000-02-04,Dow Jones,4888.02,4898.080000000001,4903.540000000001,4851.6,83911814,-2.85,6.92,11.37
2000-02-05,NASDAQ,3434.11,3400.7400000000002,3473.83,3360.8,869602526,-4.61,3.36,3.07
2000-02-06,Dow Jones,2398.03,2386.0,2402.98,2338.74,926087447,-1.44,2.61,10.72
2000-02-07,Dow Jones,1456.38,1468.1000000000001,1481.67,1425.95,828085337,6.61,9.57,10.41
2000-02-08,S&P 500,1604.99,1651.97,1694.73,1592.26,642074973,-1.4,7.77,4.84
2000-02-09,Dow Jones,1901.27,1924.03,1941.35,1855.06,820512481,5.94,7.87,11.86
2000-02-10,S&P 500,2003.87,2046.1299999999999,2094.7799999999997,1965.1,299234285,-1.22,6.24,3.13
2000-02-11,Dow Jones,4402.46,4428.68,4477.67,4373.74,322996389,0.93,8.39,8.36
2000-02-12,Dow Jones,3244.89,3254.06,3267.47,3210.1099999999997,112336516,9.75,7.59,2.13
2000-02-13,S&P 500,3093.56,3062.7599999999998,3095.61,3016.54,760179396,-1.33,5.99,14.59
2000-02-14,S&P 500,1459.08,1475.75,1511.0,1423.46,433513212,0.65,9.61,11.77
2000-02-15,Dow Jones,4440.56,4452.900000000001,4475.450000000001,4422.14,396413202,-0.48,1.92,4.07
2000-02-16,NASDAQ,3891.26,3901.51,3906.55,3855.61,931967282,-3.36,9.43,6.44
2000-02-17,S&P 500,1270.67,1269.65,1306.0500000000002,1267.64,173299941,2.35,4.01,4.09
2000-02-18,NASDAQ,3831.34,3834.21,3835.77,3812.02,368280027,0.68,5.28,11.97
2000-02-19,NASDAQ,3174.15,3157.59,3217.6600000000003,3137.27,422317180,5.42,1.23,2.77
2000-02-20,NASDAQ,1326.9,1328.8300000000002,1335.7600000000002,1318.5600000000002,58651049,7.26,5.4,12.93
2000-02-21,S&P 500,2833.2,2802.96,2839.5699999999997,2801.81,676997974,3.16,6.11,14.25
2000-02-22,NASDAQ,2938.79,2969.31,2978.09,2932.12,705322989,-4.52,9.98,10.8
2000-02-23,S&P 500,1663.1,1631.6799999999998,1711.11,1598.9499999999998,68204720,4.28,9.75,4.77
2000-02-24,NASDAQ,4782.79,4741.29,4817.45,4701.18,917879901,-4.17,9.66,6.68
2000-02-25,Dow Jones,4399.9,4393.5199999999995,4439.969999999999,4344.11,277488002,4.25,3.48,8.2
2000-02-26,Dow Jones,3676.09,3691.92,3711.8,3658.77,454777371,5.28,9.91,9.86
2000-02-27,S&P 500,2849.18,2842.95,2866.0,2812.98,429041376,-2.03,4.55,10.69
2000-02-28,Dow Jones,2647.06,2624.74,2658.7799999999997,2577.8799999999997,726822338,7.29,8.52,9.2
2000-02-29,Dow Jones,3603.89,3609.71,3633.7400000000002,3595.54,279297464,8.67,2.16,6.57
2000-03-01,NASDAQ,3181.73,3166.43,3209.32,3130.5499999999997,333936018,7.2,5.06,13.58
2000-03-02,S&P 500,1249.09,1292.3799999999999,1323.9699999999998,1211.34,594469609,-0.42,9.66,3.06
2000-03-03,NASDAQ,3050.01,3092.2700000000004,3105.1300000000006,3045.5600000000004,820368765,3.8,9.47,8.06
2000-03-04,NASDAQ,4225.61,4225.849999999999,4273.28,4182.549999999999,305825400,8.72,6.84,12.08
2000-03-05,NASDAQ,2836.96,2819.75,2845.45,2779.09,320415535,-0.19,7.98,2.79
2000-03-06,NASDAQ,1207.83,1231.54,1279.82,1206.1599999999999,728339776,7.3,1.76,11.17
2000-03-07,NASDAQ,4145.11,4098.78,4145.849999999999,4094.2299999999996,79877029,-4.86,7.22,12.66
2000-03-08,NASDAQ,1805.46,1802.94,1829.52,1800.48,404458248,-4.95,6.18,10.59
2000-03-09,NASDAQ,2034.48,2018.1100000000001,2051.15,2001.3700000000001,167771131,6.4,0.92,2.17
2000-03-10,S&P 500,1658.83,1700.8799999999999,1723.34,1633.37,487813508,6.42,1.13,4.34
2000-03-11,Dow Jones,2320.86,2272.06,2349.3900000000003,2245.44,683933050,6.83,1.08,6.45
2000-03-12,NASDAQ,4027.01,4032.2900000000004,4054.0700000000006,4013.63,684607341,8.95,7.24,5.04
2000-03-13,NASDAQ,3077.54,3101.61,3122.35,3031.96,103968425,-3.23,1.42,14.51
2000-03-14,NASDAQ,1819.53,1818.03,1856.17,1799.62,65802593,-1.52,4.68,10.47
2000-03-15,NASDAQ,4511.32,4469.86,4545.61,4467.58,580283044,8.56,3.57,5.86
2000-03-16,NASDAQ,4518.33,4565.58,4607.24,4503.32,856716960,-2.34,5.51,14.09
